STORE_NO,LASTEST_STORE_NO,STORE_NAME,LON,LAT,DO_NAME,STORE_TYPE_NAME,STORE_STATUS_NAME,BUSINESS_TIME_NAME,sells_ground_1f,Dining_area_seats_total,Dining_area_seats_outdoor,parking_lot,External_lavatory_sell,External_lavatory_outdoor,AREA_NAME,fm_100,hl_100,ok_100,px_100,sm_100,fm_250,hl_250,ok_250,px_250,sm_250,fm_500,hl_500,ok_500,px_500,sm_500,fm_1000,hl_1000,ok_1000,px_1000,sm_1000,GRID_LON,GRID_LAT,PEOPLE_FLOW,STORE_AMT,COMPETE_STORE_AMT,FLOW_INDEX,AVG_PSD
136967,136967,中泰,121.451643,25.045828,新泰區,FC2,一般,一般,29.8,4,0,1,0,1,住宅區---純住宅型,0,1,0,0,1,2,2,0,1,1,6,7,0,2,4,27,10,4,7,11,121.455,25.045,97479,15,24,2499,73666.744976
153401,153401,富旺,121.455948,25.045305,新泰區,FC1,位移新開,一般,35.1,13,0,1,0,0,住宅區---文教區,0,0,0,0,0,3,1,0,1,1,7,5,0,3,3,20,14,3,8,8,121.455,25.045,97479,15,24,2499,73711.637738
186423,239824,美新,121.457574,25.044528,新泰區,FC1,一般,一般,33,7,0,0,0,0,住宅區---幹道型,0,1,0,0,0,1,1,0,0,0,5,3,0,3,2,16,14,3,5,6,121.455,25.045,97479,15,24,2499,57299.069554
780399,780399,中港,121.455162,25.040211,新泰區,FC1,一般,一般,18.6,4,0,0,0,0,住宅區---純住宅型,1,0,0,0,0,1,0,0,1,1,3,2,0,2,1,20,8,1,5,5,121.455,25.045,97479,15,24,2499,73510.897698
832502,832502,安復,121.452461,25.043749,新泰區,FC2,一般,一般,31.2,11,0,1,0,1,住宅區---幹道型,0,0,0,0,0,1,1,0,2,1,8,4,0,2,3,25,10,4,8,9,121.455,25.045,97479,15,24,2499,66329.492814
161963,215644,福港,121.452400,25.049244,新泰區,FC1,一般,一般,22.9,4,0,0,0,0,住宅區---幹道型,0,0,0,0,0,2,3,0,0,0,6,5,2,4,4,23,11,3,6,6,121.455,25.045,97479,15,24,2499,57397.373645
215644,215644,福港,121.452538,25.049423,新泰區,FC1,一般,一般,22.9,4,0,1,0,0,住宅區---幹道型,0,0,0,0,0,2,3,0,0,2,6,6,2,3,5,25,12,3,6,10,121.455,25.045,97479,15,24,2499,56293.359469
239824,239824,美新,121.457574,25.044528,新泰區,FC1,一般,一般,33,7,0,1,0,0,住宅區---幹道型,0,1,0,0,0,1,1,0,0,0,5,3,0,3,2,17,15,3,5,6,121.455,25.045,97479,15,24,2499,59642.226261
201863,201863,思源,121.457941,25.049507,新泰區,RC,一般,一般,31.3,10,0,1,0,1,幹道型---住宅區,1,0,0,0,0,3,1,0,1,0,7,4,2,1,2,16,17,3,7,7,121.455,25.045,97479,15,24,2499,48165.626539
239075,239075,德城,121.465037,24.980145,土城區,FC1,一般,一般,33.3,29,0,1,0,1,住宅區---幹道型,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,12,3,4,2,4,121.465,24.985,82368,10,16,3168,80491.137421
239086,239086,廷寮,121.461603,24.983190,土城區,FC1,一般,一般,26.9,10,0,1,0,1,住宅區---文教區,0,0,0,0,0,1,1,0,1,0,7,2,0,2,1,16,6,4,3,6,121.465,24.985,82368,10,16,3168,74451.531138
158646,158646,立金,121.464072,24.986746,板城區,FC2,一般,一般,20.6,4,0,0,0,3,住宅區---文教區,0,0,0,0,0,1,0,0,1,1,6,2,2,1,2,20,4,5,3,9,121.465,24.985,82368,10,16,3168,83905.548333
888147,888147,金城,121.466278,24.987169,板城區,FC1,一般,一般,20.4,0,0,1,0,0,住宅區---幹道型,0,0,0,0,1,2,1,1,1,1,8,3,2,1,4,17,4,5,3,9,121.465,24.985,82368,10,16,3168,68373.512277
864613,864613,延和,121.467026,24.989704,板城區,FC2,一般,一般,19.5,0,0,1,0,1,住宅區---商業區,0,0,0,0,0,2,1,0,0,0,4,1,2,1,4,16,4,4,2,10,121.465,24.985,82368,10,16,3168,83971.522577
155120,239086,廷寮,121.461603,24.983190,土城區,FC1,位移新開,一般,26.9,10,0,0,1,0,住宅區---文教區,0,0,0,0,0,1,1,0,1,0,7,2,0,2,1,16,6,4,3,6,121.465,24.985,82368,10,16,3168,75270.469509
171122,239075,德城,121.465324,24.980103,土城區,FC1,一般,一般,33.3,29,0,0,1,0,住宅區---幹道型,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,12,3,3,2,4,121.465,24.985,82368,10,16,3168,71000.940990
148568,148568,藝高,121.444644,25.051750,新泰區,FC2,一般,一般,34.9,8,0,0,0,2,住宅區---文教區,1,0,0,0,1,2,0,0,0,1,8,0,0,1,2,16,5,2,3,7,121.445,25.055,73655,9,8,4332,64400.295303
149723,149723,藝寶,121.444351,25.050535,新泰區,FC2,一般,一般,33.5,14,0,1,0,1,住宅區---純住宅型,1,0,0,0,0,3,0,0,0,1,7,0,0,1,3,15,5,2,3,8,121.445,25.055,73655,9,8,4332,79063.182099
151988,151988,榮和,121.447099,25.051076,新泰區,FC1,一般,一般,57.2,32,0,1,0,1,文教區---高中職(含)以下(校外),0,0,0,0,0,4,0,0,1,0,9,2,0,2,4,20,8,3,5,9,121.445,25.055,73655,9,8,4332,62117.975221
164098,240477,榮富,121.449570,25.052647,新泰區,FC1,一般,一般,25.7,9,0,0,0,0,住宅區---純住宅型,0,0,0,0,0,2,1,0,1,0,5,1,1,2,3,22,7,3,5,9,121.445,25.055,73655,9,8,4332,83161.681488
207399,207399,旺泰,121.447609,25.055525,林口區,FC1,一般,一般,28.6,6,0,1,0,0,住宅區---幹道型,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,13,6,2,2,6,121.445,25.055,73655,9,8,4332,50948.072820
194480,194480,都峰苑,121.446231,25.057436,林口區,FC2,一般,一般,40.3,32,0,1,0,0,住宅區---幹道型,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,11,3,1,2,2,121.445,25.055,73655,9,8,4332,59581.046220
240477,240477,榮富,121.449726,25.052670,新泰區,FC1,一般,一般,25.7,9,0,0,0,0,住宅區---純住宅型,0,0,0,0,0,2,1,0,1,0,4,1,1,2,3,22,8,3,5,9,121.445,25.055,73655,9,8,4332,71535.532677
190846,190846,榮信,121.447830,25.052830,新泰區,FC1,一般,一般,39,16,0,0,0,1,住宅區---文教區,1,0,0,0,0,2,0,0,0,0,7,1,0,2,2,17,7,2,4,8,121.445,25.055,73655,9,8,4332,60963.258731
978662,978662,遠揚,121.451958,24.997000,板城區,FC1,一般,一般,25.2,6,0,0,0,0,醫院---醫學中心(外),0,0,0,1,0,0,0,0,1,0,3,1,1,3,1,16,6,3,3,6,121.455,24.995,80350,11,14,3214,121361.949690
209074,209074,華川,121.451024,24.993124,板城區,FC1,一般,一般,35.2,26,0,1,0,2,住宅區---純住宅型,1,0,0,0,0,1,0,2,0,1,4,0,3,2,2,19,6,4,5,5,121.455,24.995,80350,11,14,3214,57652.018347
241034,241034,油庫口,121.459630,24.995331,板橋區,FC1,一般,一般,49.5,26,0,1,0,1,住宅區---文教區,0,0,0,0,0,1,0,0,0,1,7,3,1,0,4,23,6,4,4,10,121.455,24.995,80350,11,14,3214,76622.017363
924665,924665,國和,121.459829,24.995555,板城區,FC1,一般,一般,22.4,7,0,0,0,0,工業區---傳統工業,0,0,0,0,0,0,1,0,0,1,7,3,1,0,5,23,6,4,5,10,121.455,24.995,80350,11,14,3214,90739.446084
198149,198149,板信,121.458630,24.991910,板城區,FC2,一般,一般,38.1,17,0,1,0,1,住宅區---工業區,0,0,0,0,0,2,0,0,0,0,7,0,1,2,2,20,6,5,5,11,121.455,24.995,80350,11,14,3214,66043.503180
155636,155636,亞醫二,121.452559,24.997012,板城區,FC2,一般,非24小時營業,7,0,0,0,0,0,醫院---醫學中心(內),0,0,0,1,0,0,0,0,1,0,4,1,1,2,1,18,5,4,3,6,121.455,24.995,80350,11,14,3214,44722.380579
163866,163866,華德,121.454465,24.994688,板城區,FC1,一般,一般,27.1,0,0,0,0,1,住宅區---文教區,1,0,0,0,0,2,0,0,1,0,5,2,2,2,2,21,7,4,5,9,121.455,24.995,80350,11,14,3214,72094.738721
128047,128047,興板,121.453384,24.994192,板城區,FC2,一般,一般,31.7,7,0,1,0,1,住宅區---純住宅型,0,0,0,0,0,2,0,1,1,0,5,0,2,2,2,23,6,4,5,8,121.455,24.995,80350,11,14,3214,86898.161600
228318,228318,上青,121.301416,25.050999,蘆竹區,FC1,一般,一般,47,24,0,1,0,2,住宅區---幹道型,1,0,0,0,0,1,0,0,0,1,4,0,1,0,1,11,3,1,2,2,121.305,25.055,9971,1,2,3323,44146.704472
943895,943895,臻愛,121.316189,25.007276,北桃區,FC2,一般,一般,30,7,0,1,0,2,文教區---高中職(含)以下(校外),1,0,0,1,0,2,0,0,1,0,3,1,0,1,0,7,6,1,1,2,121.315,25.005,36158,4,4,4519,74990.217347
122315,122315,三元,121.317757,25.004570,北桃區,FC1,位移新開,一般,26.3,2,0,0,0,0,住宅區---幹道型,1,0,0,0,0,1,0,0,0,0,3,2,0,1,0,5,6,3,2,3,121.315,25.005,36158,4,4,4519,70066.518557
162922,162922,澄和,121.314835,25.008924,北桃區,RC,一般,一般,32.9,6,0,1,0,2,住宅區---幹道型,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,8,5,1,2,2,121.315,25.005,36158,4,4,4519,50093.050210
228662,228662,湧強,121.317105,25.000456,北桃區,RC,一般,一般,31,12,0,1,0,1,住宅區---幹道型,0,0,0,0,0,0,1,0,0,0,1,3,1,0,2,9,7,3,3,3,121.315,25.005,36158,4,4,4519,49903.476212
199359,199359,頂社,121.319124,25.077870,蘆竹區,FC1,一般,一般,68.8,34,0,5,1,3,幹道型---住宅區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.315,25.075,2758,1,0,2758,66480.313312
912271,912271,金鶯,121.338042,24.954511,桃新區,FC1,一般,一般,23.3,0,0,0,0,0,住宅區---幹道型,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,3,1,3,0,2,121.335,24.955,12841,2,4,2140,67702.898543
123477,123477,歌德,121.333466,24.957838,桃新區,FC1,一般,一般,52,25,0,1,0,1,工業區---傳統工業,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,3,0,1,121.335,24.955,12841,2,4,2140,77154.818869
130039,130039,龜山銘傳,121.343803,24.988502,桃新區,FC1,位移新開,一般,43.1,28,0,1,0,1,文教區---大專院校(校外),1,0,0,0,0,2,0,0,1,0,3,1,0,1,1,8,2,1,4,1,121.345,24.985,12498,2,4,2083,65559.606407
131467,131467,大傳,121.348000,24.988236,桃新區,FC1,一般,一般,34.5,20,0,0,0,1,住宅區---文教區,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,4,2,0,1,1,121.345,24.985,12498,2,4,2083,73265.132383
121426,121426,中園,121.368083,24.927685,土城區,FC1,位移新開,一般,24.3,4,0,0,0,1,住宅區---幹道型,1,0,0,0,0,1,0,1,0,1,2,0,1,1,1,6,3,2,2,1,121.365,24.925,14870,2,3,2974,67368.646048
195885,195885,北霆,121.366153,24.925594,土城區,FC1,一般,一般,36.1,11,0,0,0,2,住宅區---幹道型,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,3,1,2,1,121.365,24.925,14870,2,3,2974,63545.135407
240905,240905,峽太,121.375651,24.927743,土城區,FC1,一般,一般,42.4,16,0,0,0,2,住宅區---幹道型,1,0,0,0,0,1,1,0,1,0,4,1,0,2,1,6,2,3,2,2,121.375,24.925,28222,7,8,1881,57188.306531
111038,240905,峽太,121.375572,24.927759,土城區,FC1,一般,一般,42.4,16,0,0,0,2,住宅區---幹道型,1,0,0,0,0,1,1,0,1,0,4,1,0,2,1,6,2,3,2,2,121.375,24.925,28222,7,8,1881,60398.995266
111913,111913,天下,121.374054,24.929506,土城區,RC,位移新開,一般,48.5,42,0,1,0,2,住宅區---幹道型,0,1,0,0,0,1,1,0,2,0,4,2,0,2,1,9,2,3,3,3,121.375,24.925,28222,7,8,1881,61150.325719
122245,122245,福峽,121.379948,24.929874,土城區,RC,一般,一般,59.2,48,0,1,0,2,幹道型---住宅區,0,0,0,0,0,1,0,1,0,1,2,1,1,1,1,5,2,1,2,1,121.375,24.925,28222,7,8,1881,70269.671872
165426,165426,家美,121.493875,25.002023,中和區,FC1,一般,一般,43.2,32,0,1,0,0,住宅區---工業區,0,0,0,0,0,1,1,0,0,0,5,2,1,1,0,26,7,2,3,6,121.495,25.005,91805,12,13,3672,85141.961115
215208,215208,建康,121.492926,25.000138,中和區,FC1,一般,非24小時營業,45.7,40,0,1,0,2,工業區---傳統工業,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,29,8,2,4,8,121.495,25.005,91805,12,13,3672,67853.252154
213660,213660,福泉,121.499434,25.005214,永和區,FC2,一般,一般,43.6,39,0,0,0,1,住宅區---幹道型,0,1,0,1,0,2,1,0,1,1,10,3,1,1,3,19,7,3,4,6,121.495,25.005,91805,12,13,3672,71669.273547
951313,951313,福勝,121.498586,25.007546,永和區,FC2,擴店,一般,43.5,20,0,1,0,1,住宅區---幹道型,0,0,0,0,0,0,0,0,1,0,6,1,0,1,2,18,6,3,3,3,121.495,25.005,91805,12,13,3672,84542.041639
